D_q0004_Streets,D_q0005_Trip_purpose,D_q0007.0001_6_Trip_Companionship,D_q0008.0001_7_Streets_Visiting_time,D_q0015.0001_8_Accessibility_Transportation_Options,D_q0018.0001.1_10_Summer_with_Pedestrianization,D_q0018.0002.1_10_Summer_without_Pedestrianization,D_q0018.0003.1_10_Winter_without_Pedestrianization,q0014_0004_Intersection_Safety,q0014_0005_Universal_Accessibility,q0014_0006_Attractiveness,q0014_0007_PersonalSecurity,q0014_0008_Cleanliness,q0014_0009_StreetFurniture,D_q0016_0001_0003_Motorized_vehicle_ownership,q0017_0001_Walking,q0017_0002_Cycling,q0017_0003_Two_Wheelers,q0017_0004_Public_Transport,q0017_0005_Adaptive_Transport,q0017_0006_Paratransit,q0017_0007_Car_Sharing,q0017_0008_Motor_vehicle_driving,q0019_0001_Cyclist_Regarding_speed,q0019_0002_Cyclist_Regarding_Priority_Crossing,D_q0020_Being_Cyclist,q0021_0001_Pedestrain_SharingRoad,q0021_0002_Pedestrian_Priority_Crossing,q0022_0001_HangOut_More_Often,q0022_0002_HangOut_LongTime,q0022_0003_HangOut_More_Shops,q0022_0004_Change_Route_ForPassing,q0022_0005_Changig_Route_to_Avoid,q0023_0001_General_Satisfaction,q0023_0002_Continuation_Future_Pedestrianization,q0023_0003_Extend_Pedestrianization_To_Commercials,q0025_Impact_on_Mobility,D_q0026_Gender,q0027_No_Households,D_q0030_Mobility_Restriction,D_q0031_0001_Disability_Walking,D_q0031_0002_Disability_Bike,D_q0031_0003_Bus_Disability,q0006_Trip_frequency,q0014_0001_Y1,q0014_0002_Y2
7,5,1,1,5,2,2,2,2,2,2,2,2,2,0,4,5,1,2,1,1,3,1,5,5,2,5,5,5,5,5,5,1,2,2,2,5,1,3,1,2,2,2,3,2,2
7,2,4,5,6,1,1,1,2,2,2,2,2,2,1,5,4,1,1,1,1,1,3,4,3,2,4,3,4,4,3,4,1,1,2,2,3,2,2,1,2,2,2,3,2,1
7,5,4,5,6,2,2,2,2,1,-1,2,1,-1,1,5,4,1,4,1,1,4,3,5,5,2,5,5,5,5,5,5,1,2,2,2,5,2,2,1,2,2,2,4,2,2
7,6,1,4,5,8,8,8,1,2,2,2,1,1,0,4,5,1,3,1,1,3,1,5,4,2,5,5,4,4,3,2,4,1,1,0,3,2,4,1,2,2,2,3,1,1
7,6,4,4,5,1,1,1,-1,1,1,1,1,1,1,4,4,1,4,1,1,2,4,4,4,2,4,4,4,4,3,4,2,2,2,2,5,1,3,1,2,2,2,4,1,1
12,1,1,1,2,9,1,4,2,1,1,2,2,1,1,1,1,1,1,1,1,1,5,4,2,1,0,0,1,1,1,1,5,-1,-1,-1,3,1,1,1,2,1,1,3,2,2
7,3,4,5,5,2,2,2,1,-2,1,1,1,-1,0,5,5,4,3,1,1,3,1,4,3,2,5,5,4,4,4,4,1,2,1,2,5,1,4,1,2,2,2,4,-1,1
7,2,1,5,4,1,1,1,1,1,1,-1,-2,1,1,4,3,1,1,1,1,1,3,2,4,2,3,3,4,4,4,4,1,2,2,2,3,2,3,1,2,2,2,4,-1,-1
7,1,4,4,4,4,1,4,-2,-1,1,1,1,1,1,5,4,1,4,1,1,1,4,1,1,2,3,3,3,3,2,2,4,-1,-1,-2,3,1,4,1,2,2,2,2,-2,-2
7,1,4,4,4,1,1,1,1,2,1,1,1,1,1,5,3,1,3,1,1,1,2,2,2,1,0,0,5,5,5,5,1,2,2,2,5,2,4,1,2,2,2,4,2,2
12,1,3,4,6,4,1,4,1,1,2,2,1,-1,1,4,5,1,2,1,2,1,4,5,4,2,4,4,5,5,5,5,1,2,2,2,5,2,2,1,2,2,2,2,2,2
1,1,3,6,6,1,1,1,-1,1,1,1,-1,-1,1,5,4,1,5,1,3,1,2,1,1,1,0,0,4,4,4,4,1,2,2,2,5,2,3,1,2,2,2,4,-2,-2
7,6,3,5,4,1,1,1,1,1,2,2,2,2,1,5,3,1,3,1,1,1,3,3,2,2,5,5,4,5,3,4,4,1,1,1,3,1,1,1,2,2,2,3,1,1
7,6,1,5,4,2,2,1,1,1,1,2,2,2,0,5,4,1,1,1,1,1,1,4,4,2,2,2,4,4,3,2,3,2,2,2,4,1,2,1,2,2,2,4,-1,-1
1,6,2,6,5,1,1,1,-2,2,2,2,1,1,0,5,3,1,3,1,1,5,1,1,1,2,4,5,4,4,1,4,1,2,2,2,4,1,1,1,2,2,2,4,-2,-2
7,3,4,4,5,1,1,1,1,-1,2,2,-1,2,0,5,4,1,3,1,2,4,1,4,2,2,3,3,3,5,4,5,1,2,2,2,5,1,4,1,2,2,2,4,-1,-1
7,6,4,4,4,1,1,1,1,1,2,2,2,2,1,5,3,1,1,1,1,1,3,2,2,2,5,5,5,5,5,5,1,2,2,2,5,1,4,1,2,2,2,4,-1,-1
1,5,1,5,5,2,8,8,2,0,2,2,1,2,0,5,5,1,4,1,2,3,1,4,4,2,4,4,5,5,5,5,2,2,2,2,5,1,1,1,2,2,2,3,2,2
7,6,4,4,4,3,3,3,1,0,1,2,1,2,0,5,4,1,4,1,2,1,2,5,4,2,5,4,5,4,3,1,1,2,2,2,5,2,2,1,2,2,2,3,-1,2
7,5,4,6,6,2,2,3,2,2,2,2,2,2,1,5,4,1,3,1,1,2,5,2,2,2,4,4,5,5,4,5,1,2,2,2,5,2,4,1,2,2,2,3,2,1
1,1,4,6,4,1,1,4,1,1,1,1,1,1,1,5,4,1,3,1,2,1,5,1,2,2,3,3,4,4,3,4,4,1,1,0,4,2,4,1,2,2,2,3,-2,-1
1,6,1,6,4,2,2,3,1,0,2,2,2,2,0,4,5,1,3,1,1,1,1,5,4,2,5,4,5,5,5,5,1,2,2,2,5,1,1,1,2,2,2,3,2,2
1,5,4,6,5,2,2,2,2,2,2,2,2,2,0,5,4,1,2,1,2,2,1,4,4,2,4,4,5,5,3,5,1,2,2,2,5,1,2,1,2,2,2,2,2,2
4,2,4,4,6,2,2,1,-2,1,-1,-2,-1,-1,0,3,4,1,3,1,1,2,1,2,2,2,4,4,5,5,5,5,5,2,2,2,5,1,3,1,2,2,2,4,1,1
1,6,1,5,5,1,8,8,2,2,2,2,2,2,0,5,1,1,2,1,3,3,1,4,4,1,0,0,5,4,4,4,1,2,2,2,4,1,2,1,2,2,2,3,2,2
1,1,3,6,6,2,2,2,1,2,2,2,2,2,0,4,4,1,2,1,2,3,1,4,4,2,5,5,5,5,5,5,1,2,2,2,5,1,2,1,2,2,2,3,1,1
1,1,3,5,4,1,1,1,-2,1,1,1,-1,1,1,5,4,1,2,1,2,1,4,2,2,2,4,4,4,4,3,4,1,1,1,-2,3,2,2,1,2,2,2,4,-1,1
1,8,1,6,4,1,1,1,1,2,2,2,1,1,0,5,2,1,2,1,1,3,1,1,1,1,0,0,5,5,3,5,1,2,2,-1,4,1,3,1,2,2,2,3,-1,-1
1,1,1,6,5,1,1,1,1,1,1,1,1,2,0,4,1,1,2,1,1,3,1,2,1,1,0,0,3,4,4,2,1,2,2,1,4,1,1,1,2,2,2,2,1,1
1,1,3,2,4,1,1,4,1,-1,1,-1,1,1,1,5,2,1,5,1,1,1,4,2,1,1,0,0,3,4,2,1,4,1,1,1,3,1,2,1,2,2,2,2,-2,-1
1,2,3,4,5,2,3,3,2,0,2,2,1,1,1,4,5,1,2,1,1,1,3,4,4,2,4,4,5,5,5,3,1,2,2,2,3,2,2,1,2,2,2,3,2,1
1,1,1,5,6,7,1,4,-2,1,1,-2,1,-2,0,5,5,0,4,1,2,1,4,2,1,1,0,0,5,4,3,4,1,2,2,2,5,2,1,1,2,2,2,4,1,-1
12,4,1,5,6,2,2,2,-1,1,1,1,-1,1,0,4,5,1,1,1,1,2,1,4,4,2,4,2,3,3,3,4,2,2,2,2,4,1,2,1,2,2,2,3,1,1
1,6,3,4,3,1,1,1,1,1,1,1,1,-1,1,5,1,1,1,1,1,1,4,2,2,1,0,0,3,2,2,1,4,1,1,-2,2,1,2,1,1,1,2,3,-2,-2
1,1,3,4,6,1,1,1,-2,1,1,1,1,1,1,4,4,1,2,1,2,1,5,1,1,1,0,0,4,4,4,4,2,2,2,1,4,1,3,1,2,2,2,3,-2,-2
1,1,1,5,4,1,1,1,2,2,2,2,1,1,1,5,5,1,3,1,2,1,3,2,2,2,2,2,3,3,3,3,1,2,2,2,3,2,3,1,2,2,2,4,-1,-1
1,1,4,4,5,1,2,1,1,1,2,2,1,1,0,5,4,1,4,0,4,4,0,4,2,2,5,5,5,5,5,5,3,2,2,2,5,2,3,1,2,2,2,3,1,1
1,1,1,5,5,2,2,2,1,2,2,2,2,2,0,4,5,1,2,1,1,2,1,4,4,2,3,3,5,5,5,5,1,1,1,1,4,1,1,1,1,2,2,3,2,2
1,1,2,6,4,1,1,1,1,1,1,1,1,-1,0,5,0,1,2,2,0,0,0,1,1,2,1,3,4,4,4,3,3,2,2,1,5,2,1,1,2,2,2,4,-1,-2
8,1,4,6,4,2,3,4,1,2,2,2,2,1,1,4,4,1,3,1,2,1,3,4,4,2,4,4,4,4,3,4,2,2,2,2,4,2,4,1,2,2,2,2,2,2
4,1,3,4,5,3,3,3,-1,2,1,2,1,2,0,5,4,1,3,1,1,2,1,4,2,2,3,2,4,4,4,2,3,2,2,2,4,2,1,1,2,2,2,2,-1,1
12,1,3,4,5,2,2,1,-2,0,1,2,2,2,0,5,4,1,2,1,1,3,1,5,3,2,5,5,4,3,3,3,1,2,2,2,5,1,1,1,2,2,2,2,1,1
7,2,3,3,5,2,2,1,2,0,2,2,2,2,0,4,4,1,2,1,2,3,1,5,5,2,5,5,5,5,5,5,1,2,2,2,5,2,2,1,2,2,2,3,2,2
14,5,1,3,5,1,1,1,-1,-1,1,1,1,1,0,5,1,1,4,1,1,4,1,1,1,1,0,0,4,4,1,4,1,1,1,1,4,1,1,1,2,2,2,3,-2,-2
7,2,3,2,6,2,2,2,1,1,1,1,1,1,0,5,4,1,4,1,2,3,1,4,4,2,4,4,5,5,4,5,1,2,2,2,5,1,2,1,2,2,2,3,2,2
4,1,3,5,5,2,2,1,-2,1,-1,1,1,1,0,4,4,1,3,1,2,1,1,3,2,2,5,3,1,4,4,4,4,2,2,2,1,2,2,1,2,2,2,3,-2,-2
7,6,3,4,4,2,1,4,1,1,2,2,2,2,0,5,4,1,1,1,1,1,3,5,4,2,4,4,4,4,3,5,1,2,2,2,4,1,2,1,2,2,2,2,2,1
4,1,1,6,6,2,2,2,1,-1,-1,1,1,-1,0,4,5,1,2,1,1,1,1,4,4,2,4,4,3,4,3,3,4,2,2,2,3,1,2,1,2,2,2,3,1,1
7,5,3,6,6,2,1,4,1,1,2,2,1,2,1,3,4,1,3,1,3,1,4,4,4,2,3,3,5,5,4,5,2,2,2,1,5,1,2,1,2,2,2,2,1,1
7,1,4,2,6,1,1,1,1,1,2,2,2,2,1,5,3,1,4,1,1,1,4,4,4,2,5,5,5,5,5,5,1,2,2,2,5,2,3,1,2,2,2,2,1,1
1,5,3,5,4,2,1,4,2,2,2,2,1,1,1,5,4,1,3,1,1,1,3,2,1,2,4,4,5,5,4,5,4,2,2,2,5,1,2,1,2,2,2,3,1,1
7,2,2,6,5,2,2,1,1,1,2,2,2,2,0,5,4,1,4,1,1,3,1,4,4,1,0,0,5,5,5,5,1,2,2,2,5,1,1,1,2,2,2,4,2,1
7,2,3,6,6,2,2,2,-1,-2,1,2,2,2,0,5,5,1,2,1,2,3,1,5,2,2,5,5,5,5,5,5,2,2,2,2,5,2,2,1,2,2,2,4,2,1
7,2,2,5,5,2,2,3,2,2,2,2,2,2,1,5,5,1,1,1,1,3,1,5,4,2,5,5,5,5,5,5,1,2,2,2,5,1,1,1,2,2,2,2,2,2
7,6,4,5,6,1,1,1,1,2,2,2,1,1,0,5,4,2,5,1,3,4,1,4,3,2,4,4,5,5,5,5,1,2,2,2,5,2,3,1,2,2,2,3,1,1
7,6,3,5,4,2,2,1,1,1,2,1,1,1,0,5,4,1,3,1,1,1,3,4,4,2,4,4,5,5,5,5,1,2,2,2,5,1,2,1,2,2,2,4,2,2
14,2,3,6,4,3,3,3,1,0,-1,-1,-1,-1,0,5,4,3,3,1,2,1,1,4,4,2,1,2,5,4,5,4,2,2,2,2,4,2,2,1,2,2,2,2,1,1
7,5,3,4,3,9,1,1,2,2,2,2,1,1,0,1,1,1,5,1,1,3,1,4,4,1,0,0,5,5,4,4,3,2,2,2,5,2,2,1,2,2,2,4,2,1
7,6,3,6,4,1,1,1,1,2,2,1,1,2,1,5,3,1,2,1,1,1,4,2,2,2,3,4,4,5,3,4,1,0,1,0,4,1,4,1,2,2,2,3,-2,-2
3,6,4,5,4,2,2,1,-1,0,1,1,1,2,1,5,5,3,3,1,2,1,3,4,4,2,4,3,4,3,4,3,3,2,2,2,4,1,4,1,2,2,2,4,1,1
6,6,4,4,4,2,1,4,2,2,2,2,2,2,1,5,4,1,1,1,1,1,3,5,5,2,5,4,2,3,3,5,2,2,2,2,5,2,2,1,2,2,2,4,2,2
1,6,1,3,4,1,1,1,-1,-2,1,1,2,1,1,5,5,1,1,1,1,1,5,1,1,2,3,3,4,4,2,2,2,1,1,1,3,1,1,1,2,2,2,3,-1,-1
8,1,4,4,4,3,3,3,1,0,2,2,2,2,2,4,5,1,3,1,1,1,3,5,4,2,2,4,5,5,3,5,1,2,2,2,5,2,4,1,2,2,2,2,2,1
3,1,3,5,5,1,1,1,1,2,1,1,1,1,0,4,5,1,2,1,2,2,1,4,4,2,2,3,4,4,4,3,1,2,2,2,5,1,2,1,2,2,2,3,-1,-1
1,5,2,6,6,3,3,3,1,2,2,2,2,1,0,4,4,2,3,1,1,2,2,4,4,2,5,5,5,5,5,5,5,2,2,2,5,2,3,1,2,2,2,3,2,2
7,5,3,5,3,1,1,1,1,1,1,1,1,1,0,4,1,1,3,1,1,1,1,1,1,1,0,0,4,4,3,4,1,2,2,2,5,2,2,1,2,2,2,3,-2,-2
12,1,1,2,6,2,2,4,1,2,1,1,1,-1,1,5,5,1,1,1,1,1,3,4,2,2,4,4,5,5,5,4,1,1,1,2,4,1,1,1,2,2,2,2,1,1
7,6,3,5,6,4,1,4,2,1,1,1,1,1,3,5,3,1,3,1,1,1,4,4,3,1,0,0,5,5,5,5,5,1,1,1,4,1,4,1,2,2,2,2,2,1
7,2,4,5,5,1,1,1,2,1,2,2,2,1,0,5,4,1,3,1,1,2,1,5,4,1,0,0,5,5,5,5,1,2,2,2,5,1,4,1,2,2,2,2,2,2
7,2,3,4,5,1,1,1,2,2,2,1,2,2,0,3,4,1,1,1,1,2,1,5,4,1,0,0,4,4,3,5,5,2,2,2,4,1,2,1,2,2,2,2,2,2
7,5,2,6,4,1,1,1,2,2,2,2,1,2,1,5,4,1,4,1,1,1,5,5,5,2,4,5,5,5,5,5,1,2,2,2,4,1,1,1,2,2,2,3,2,2
7,2,4,5,6,1,1,4,-1,2,2,1,1,1,1,5,3,1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,1,2,2,2,3,1,3,1,2,2,2,3,2,2
1,4,1,5,6,2,2,2,-1,-1,1,1,1,1,1,4,5,1,2,1,2,1,4,4,4,2,4,4,3,3,3,3,3,1,2,1,4,1,1,1,2,2,2,4,1,1
7,6,3,6,7,3,3,3,1,-1,2,2,1,1,0,5,1,1,4,1,2,1,1,1,1,1,0,0,3,2,2,1,4,-1,-2,-2,2,1,1,2,1,1,2,3,-2,-2
7,2,4,5,4,1,1,1,1,1,2,1,2,2,1,5,1,1,1,1,2,1,4,2,3,1,0,0,4,5,5,4,2,1,2,-1,4,1,4,1,2,2,2,2,1,1
7,6,4,4,4,2,2,1,1,1,1,1,-1,1,1,4,4,1,4,1,1,1,4,1,1,2,4,4,3,3,2,3,2,1,1,1,4,2,3,1,2,2,2,3,-2,-2
7,8,3,4,3,1,1,1,-1,1,1,2,1,1,1,4,2,1,3,1,1,1,3,2,2,2,0,0,4,4,4,4,2,1,1,1,3,2,2,1,2,2,2,2,1,1
7,6,4,1,5,2,2,1,2,2,1,2,2,1,1,5,4,4,1,1,1,1,1,4,4,2,5,5,5,5,5,4,3,2,2,2,5,1,4,1,2,2,2,4,1,1
7,6,4,5,5,1,1,1,1,1,2,2,1,1,0,5,2,1,4,1,2,4,1,2,2,2,3,3,4,4,4,4,1,2,2,2,5,1,4,1,2,2,2,4,-1,1
1,6,1,5,5,3,3,3,1,-1,2,2,2,2,1,5,4,1,2,1,1,2,4,5,5,2,5,5,5,5,5,4,4,2,2,2,5,1,2,1,2,2,2,2,2,2
1,6,3,5,4,2,2,2,1,-2,2,2,1,1,0,5,5,1,3,1,2,1,3,5,4,2,5,5,4,4,4,4,4,2,2,2,5,1,2,1,2,2,2,2,2,2
7,6,3,5,5,1,2,1,1,2,2,2,2,2,0,4,4,1,4,1,1,2,1,4,4,2,4,4,5,4,4,5,1,2,2,2,5,1,1,1,2,2,2,4,2,1
7,6,4,4,5,2,2,1,1,-1,-1,2,2,1,0,5,3,1,1,1,1,2,1,2,2,2,2,2,4,4,1,4,2,2,2,2,5,1,3,1,2,2,2,4,1,1
3,6,1,5,4,2,2,2,1,2,2,2,2,2,1,5,5,1,3,1,1,1,3,4,4,2,4,4,3,3,4,5,2,2,2,2,5,1,4,1,2,2,2,4,2,2
7,5,4,5,4,1,1,1,1,2,2,2,1,2,2,5,3,1,3,1,1,1,1,3,3,2,5,5,5,5,5,5,1,2,2,2,5,2,4,1,2,2,2,4,2,-2
3,2,3,5,4,2,1,4,-1,-1,1,1,1,1,1,4,3,1,1,1,1,1,3,4,4,2,4,2,5,4,4,5,1,2,2,2,5,1,3,1,2,2,2,3,-1,-1
1,3,1,5,3,1,1,1,1,2,1,1,1,1,1,5,1,1,3,1,3,1,1,1,1,1,0,0,3,3,3,3,4,1,1,0,3,2,2,1,2,2,2,3,-2,-2
4,6,5,4,4,4,1,4,1,0,1,2,1,1,1,4,4,1,2,1,1,2,4,5,4,2,5,5,4,3,3,4,2,1,1,1,4,2,1,1,2,2,2,1,-1,-1
1,2,2,4,6,3,3,3,1,-1,2,1,1,1,0,5,2,1,5,1,2,1,1,2,2,1,0,0,5,5,3,5,1,2,2,2,5,1,2,1,2,2,2,1,2,2
2,3,4,4,5,2,2,4,1,1,1,1,1,1,0,4,5,1,2,1,2,1,2,5,5,2,5,5,5,5,5,5,3,2,2,2,5,1,1,1,2,2,2,4,2,1
1,1,2,6,6,4,1,4,2,1,2,2,1,1,1,5,4,1,3,1,3,2,4,5,5,2,5,5,5,5,5,5,1,2,2,2,5,1,3,1,2,2,2,2,1,1
1,3,2,6,6,2,2,2,1,2,2,2,1,1,0,5,5,1,2,1,1,1,1,5,5,2,4,3,5,5,5,5,3,2,2,2,5,1,2,1,2,2,2,3,1,1
5,5,3,5,4,2,2,2,1,2,2,2,-2,-1,1,5,5,1,1,1,2,1,5,5,5,2,4,5,5,5,5,5,2,2,2,-1,5,2,1,1,2,2,2,4,2,2
1,2,1,5,4,5,2,2,-1,1,2,2,2,1,0,5,5,4,1,1,1,1,1,4,4,2,5,5,5,5,5,5,2,2,2,2,5,2,1,1,2,2,2,4,2,2
1,1,2,4,4,2,2,9,1,1,2,1,-2,-1,0,4,3,1,2,1,1,1,1,4,3,2,1,1,4,4,3,3,2,2,2,2,5,1,1,1,2,2,2,2,-1,-1
1,1,4,4,7,1,1,1,1,2,2,2,2,2,0,5,4,3,2,1,1,1,1,4,4,2,4,2,5,5,5,5,1,2,2,2,5,2,4,1,2,2,2,4,1,2
2,6,3,5,4,2,7,7,1,1,2,-1,1,1,0,5,5,2,3,4,2,2,3,5,5,2,5,5,5,5,5,5,4,2,2,2,5,2,2,1,2,2,2,4,1,-1
1,6,1,5,5,3,3,3,1,1,1,1,1,1,0,5,5,3,4,1,1,1,1,3,3,2,3,3,3,3,3,3,4,2,2,2,3,2,1,1,2,2,2,2,-1,-1
11,6,4,6,4,3,3,3,2,2,2,2,2,2,0,5,4,3,4,1,3,3,1,5,4,2,5,4,5,5,5,5,5,2,2,2,5,1,2,1,2,2,2,4,2,2
1,2,3,6,6,2,8,2,1,2,2,2,1,1,0,4,5,1,3,1,2,3,1,5,4,2,5,5,4,5,4,4,1,2,2,2,4,2,2,1,2,2,2,2,1,2
1,6,3,6,4,2,2,1,1,2,1,2,1,2,1,5,5,1,4,1,3,1,4,4,4,2,3,3,5,5,5,5,1,2,2,2,5,1,2,1,2,2,2,4,1,1
5,6,2,6,4,2,2,1,1,1,1,2,1,1,0,4,5,1,4,1,1,1,1,5,5,2,5,5,5,5,5,5,1,2,2,2,5,2,2,1,2,2,2,4,2,2
7,2,4,6,6,2,2,3,2,2,2,2,2,2,0,5,4,1,4,1,2,1,1,5,5,2,5,5,5,5,5,5,1,2,2,2,5,2,2,1,2,2,2,2,2,2
1,6,3,5,4,2,2,1,2,0,-1,1,2,-1,0,5,4,1,3,0,1,3,4,5,5,2,5,5,5,5,5,5,3,2,2,2,5,2,3,1,2,2,2,4,2,2
7,5,3,6,6,1,1,1,2,-1,2,2,2,2,0,5,5,1,4,1,2,2,1,4,2,2,5,5,5,5,5,5,1,2,2,2,5,1,2,1,2,2,2,4,1,1
1,1,3,4,4,2,2,2,1,1,1,2,1,1,2,4,5,1,2,1,1,1,3,4,4,2,4,3,4,4,4,4,1,2,2,2,5,1,3,1,2,2,2,2,1,1
11,6,1,4,6,2,3,3,1,2,2,2,2,2,0,5,5,1,3,1,2,1,2,5,5,2,5,5,5,5,5,5,1,2,2,2,5,1,1,1,2,2,2,3,2,2
1,1,1,4,6,2,2,1,1,2,2,2,2,1,0,4,4,1,4,1,1,1,2,4,4,2,3,4,5,5,4,4,1,2,2,2,5,2,1,1,2,2,2,2,2,1
1,6,4,5,6,2,2,4,2,1,2,2,2,2,1,5,5,1,2,1,1,1,3,5,5,2,5,5,5,5,5,5,1,2,2,2,5,1,2,1,2,2,2,3,2,2
3,2,1,5,6,2,2,2,2,1,1,2,1,2,0,4,3,1,3,1,1,1,1,4,4,2,2,2,3,4,3,4,1,2,2,2,5,1,3,1,2,2,2,2,2,2
12,1,1,5,4,2,2,2,1,1,1,1,1,1,0,4,5,1,2,1,1,1,4,4,4,2,4,4,3,3,3,4,2,2,2,2,5,1,3,1,2,2,2,3,1,1
6,6,1,5,4,2,2,2,2,2,2,2,2,2,1,5,4,1,2,1,1,1,4,5,5,2,4,4,4,1,1,1,4,2,2,2,5,1,4,1,2,2,2,3,1,2
1,6,1,4,4,2,2,3,1,1,1,1,1,1,0,5,5,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,4,1,1,1,3,3,1,1,2,2,2,2,-1,-1
1,5,3,5,4,1,1,1,2,2,2,2,2,-2,0,5,2,1,1,1,1,1,2,2,1,2,2,2,5,5,5,4,2,2,2,2,5,1,2,1,2,1,1,4,1,1
1,2,4,6,6,2,1,4,2,0,2,2,2,2,1,5,5,1,2,1,3,1,4,5,5,2,5,5,5,5,5,5,2,2,2,2,5,1,4,1,2,2,2,2,2,2
4,2,4,6,6,2,2,4,1,1,1,1,1,1,1,5,4,1,2,1,1,1,3,5,5,2,4,2,4,4,3,4,1,1,2,2,4,2,3,1,2,2,2,2,1,1
7,6,1,4,5,2,2,2,2,2,2,2,2,2,0,4,5,1,3,1,1,1,3,5,5,2,5,5,5,5,5,1,4,2,2,2,3,2,3,1,2,2,2,2,2,2
8,4,2,6,6,3,3,3,1,2,-1,-2,-2,-2,0,5,5,1,3,1,2,1,1,5,2,2,3,4,4,3,2,1,4,2,2,2,4,1,2,1,2,2,2,3,-1,1
3,1,4,4,4,3,1,4,1,2,2,1,1,2,1,5,4,1,3,1,2,1,3,2,2,1,0,0,5,5,5,5,1,2,2,2,4,1,4,1,1,2,1,3,1,1
1,6,4,6,6,2,2,3,2,0,2,2,1,1,0,5,4,1,3,1,2,3,1,4,2,2,4,4,5,5,4,4,4,2,2,2,5,1,4,1,2,2,2,2,1,1
1,1,1,6,6,2,2,2,2,2,2,2,2,2,0,4,5,1,2,1,1,2,1,5,5,2,5,5,5,5,5,5,1,2,2,2,5,2,1,1,2,2,2,3,2,2
3,3,2,6,5,2,2,2,2,2,2,2,2,1,0,4,5,1,3,1,1,2,1,4,1,2,5,5,5,5,5,3,5,2,2,2,5,2,2,1,2,2,2,4,-1,-2
1,6,3,4,4,1,1,1,-1,-1,1,1,-1,1,1,5,1,1,3,1,1,4,3,5,5,2,4,4,4,4,3,3,3,2,2,2,4,3,2,1,2,2,2,2,1,1
1,1,1,4,4,1,2,2,1,0,2,2,2,1,0,5,5,1,1,1,1,1,1,4,4,2,5,4,5,5,5,5,5,2,2,2,5,2,1,1,2,2,2,4,1,-1
4,1,3,4,4,2,2,1,1,2,2,2,1,1,0,5,4,1,3,1,1,1,2,3,3,2,5,4,5,5,5,5,1,2,2,2,5,1,2,1,2,2,2,4,1,1
1,6,3,5,6,2,1,4,1,1,2,2,2,2,0,4,4,3,1,1,1,1,4,5,5,2,4,4,4,4,2,3,3,1,1,0,4,1,2,1,2,2,2,4,2,2
1,1,3,6,7,5,5,1,1,1,1,2,1,-1,1,4,1,1,1,1,1,1,3,5,4,2,4,4,4,3,3,4,1,2,2,2,4,1,2,2,1,2,2,3,1,1
2,5,3,5,4,2,2,2,1,1,2,1,1,2,1,5,5,1,3,1,2,1,3,5,5,2,5,5,5,5,5,5,2,2,2,2,5,1,2,1,2,2,2,2,2,1
1,3,4,4,6,2,2,2,1,2,2,2,2,2,0,5,5,1,2,1,2,2,1,5,5,2,5,5,5,5,5,5,1,2,2,2,5,2,3,1,2,2,2,3,2,2
1,1,3,6,5,2,3,3,2,2,2,2,2,2,0,5,4,1,4,1,1,2,1,4,5,2,4,4,5,5,5,1,1,2,2,2,5,2,2,1,2,2,2,3,1,1
1,1,1,4,6,1,1,1,2,2,2,2,1,1,1,5,5,1,2,1,2,1,4,2,2,2,3,3,4,4,3,4,2,1,1,-1,3,1,1,1,2,2,2,4,1,1
1,5,4,4,5,2,2,2,1,-1,1,2,1,1,1,5,5,1,1,1,1,1,3,4,2,2,2,4,5,5,4,5,1,2,2,2,5,2,3,1,2,2,2,3,2,1
1,5,3,6,4,2,2,1,1,-1,1,1,1,-1,1,5,5,1,2,1,1,2,1,4,4,2,5,4,5,5,5,5,2,2,2,2,5,1,4,1,2,2,2,3,2,2
7,8,4,5,4,2,2,2,1,-1,1,2,1,1,1,5,5,2,2,1,1,1,4,5,5,2,5,5,3,4,4,4,1,2,2,2,5,2,4,1,2,2,2,3,2,1
1,3,1,5,4,2,2,2,1,1,1,1,1,1,1,4,4,1,1,1,1,1,3,4,4,2,4,4,3,5,4,2,4,2,2,2,4,1,1,1,2,2,2,3,1,1
7,6,2,6,6,2,2,3,-1,1,1,2,2,2,0,5,5,1,2,1,1,2,2,3,3,2,3,3,4,4,4,3,4,2,2,2,4,1,1,1,2,2,2,3,-1,-1
6,6,1,5,4,2,2,2,1,0,-1,0,1,1,1,5,5,3,2,1,1,1,3,3,3,2,2,2,1,1,1,1,5,-1,-1,-1,2,2,4,1,2,2,2,1,-2,-1
1,2,5,6,6,3,3,4,-2,1,1,1,1,-1,0,5,4,1,4,1,1,1,1,3,2,2,3,2,5,5,5,1,1,2,2,2,5,3,1,1,2,2,2,2,-2,-2
1,3,1,5,6,2,2,4,1,2,1,2,1,1,1,4,5,1,3,1,2,1,5,5,5,2,5,5,4,4,3,5,4,2,2,1,4,1,4,1,2,2,2,3,2,2
2,2,3,5,4,2,2,4,2,2,2,2,1,1,0,5,4,1,2,1,2,1,1,4,4,2,4,4,5,5,5,5,1,2,2,2,4,2,1,1,2,2,2,3,1,1
4,2,3,5,5,2,2,1,1,-1,1,2,1,-1,0,5,4,1,4,1,3,4,1,4,4,2,3,3,3,3,4,3,1,2,2,1,4,1,3,1,2,2,2,2,2,2
