UrbanDesign_q0014_0004_Intersection_Safety,UrbanDesign_q0014_0006_Attractiveness,Mutual_q0019_0001_Cyclist_Regarding_speed,Mutual_q0019_0002_Cyclist_Regarding_Priority_Crossing,GeneralOpinion_q0025_Impact_on_Mobility,q0014_0001_Y1,q0014_0002_Y2
-1,1,5,4,3,-1,-1
1,2,4,2,5,1,1
2,2,3,2,5,1,1
-1,1,1,1,3,-1,-1
2,2,1,1,5,-2,-2
-2,-2,1,1,1,-2,-2
1,2,5,4,4,2,2
1,1,5,3,5,2,2
1,1,4,5,4,2,2
1,1,1,1,5,-1,-1
1,1,3,3,5,1,1
2,-1,2,1,2,-1,-1
-1,2,5,4,4,2,2
2,1,4,4,5,2,1
1,2,4,4,5,1,1
2,1,5,5,4,-1,-1
1,2,4,3,4,1,1
1,2,4,2,5,-1,-1
1,2,4,3,5,1,1
1,2,2,2,5,-1,-1
1,2,4,3,4,1,1
1,2,4,4,5,2,2
1,2,4,5,5,1,1
1,2,4,2,5,1,1
2,1,2,2,4,1,-1
2,2,1,1,4,-2,-1
1,2,3,3,5,-1,-1
-1,2,2,2,5,-1,-1
2,2,5,5,5,2,2
1,2,1,1,5,-2,-1
1,2,3,4,5,1,1
1,2,2,2,5,1,1
2,2,3,2,4,1,1
2,2,4,4,5,2,2
1,1,2,2,4,-1,-1
2,2,2,1,5,2,2
-1,2,2,2,5,1,-1
-1,-1,2,1,1,-1,-2
1,1,1,1,3,-1,-1
1,2,4,3,5,1,1
1,2,4,4,5,2,2
2,1,5,2,3,1,1
1,2,2,2,5,-1,-1
2,2,5,5,5,2,2
1,1,2,2,3,1,1
1,2,4,4,3,1,1
2,2,5,5,5,2,2
2,2,4,4,5,1,1
1,2,4,4,5,2,1
2,2,4,4,5,2,2
2,2,5,5,5,1,1
2,2,4,4,5,2,1
1,2,4,4,4,2,2
2,1,5,5,4,2,2
2,2,1,1,5,-2,-2
2,2,4,4,5,2,1
2,2,5,5,5,2,2
1,1,4,4,5,1,1
1,2,4,4,5,2,2
1,2,2,2,5,1,-1
1,-1,3,3,1,-1,-1
1,1,5,5,5,2,2
1,1,4,1,5,2,-1
2,1,4,4,4,2,1
-1,1,4,4,5,1,1
2,2,5,5,4,2,2
1,2,2,2,5,1,1
1,2,2,3,5,1,1
1,2,1,2,5,-1,-1
1,2,4,2,5,2,2
-1,-1,3,1,3,1,1
-1,1,1,1,4,-2,-2
1,2,2,1,5,-1,-1
2,2,4,4,2,2,2
-1,2,2,1,5,-1,-1
1,2,4,4,5,1,1
1,-1,2,2,4,-1,-1
-2,-1,1,1,3,-2,-2
-2,-2,1,1,1,-2,-2
1,2,5,5,5,2,1
1,2,4,4,5,2,2
2,2,4,2,5,1,1
1,2,2,2,4,-1,1
1,2,1,1,5,-2,-2
-1,2,5,4,5,2,1
1,2,1,1,5,-1,-1
1,2,5,5,5,2,2
-1,1,2,1,5,1,1
1,2,1,1,3,-2,-2
1,2,4,4,5,2,2
1,1,3,2,5,1,1
1,2,4,4,5,1,1
1,1,1,1,5,-2,-2
-2,-2,1,1,1,-2,-2
1,2,4,4,5,1,1
1,2,4,4,5,2,2
2,1,4,3,2,2,1
2,2,4,5,5,2,2
-1,1,3,3,5,1,1
-1,-2,2,2,3,-1,-1
1,1,1,1,4,-1,-1
2,2,4,4,5,1,1
-1,2,4,1,5,1,-2
1,2,4,4,4,2,2
1,1,1,1,5,-2,-1
2,1,4,4,4,1,1
2,1,5,5,4,2,2
1,1,1,1,4,-2,-2
1,2,4,4,5,2,2
1,1,1,1,5,-2,-2
1,2,4,3,5,1,1
1,1,1,1,3,-2,-2
1,1,1,2,4,-2,-1
-2,1,1,1,2,-2,-2
2,1,1,1,3,-1,-1
1,1,4,4,4,1,1
1,1,1,1,5,-2,-2
-1,1,1,1,4,-2,-2
1,1,1,1,4,-2,-2
1,2,4,4,5,1,1
1,1,4,3,3,1,1
2,2,1,2,5,-2,-2
1,1,1,1,3,-1,-1
1,1,2,1,4,-1,-1
2,1,5,4,5,2,2
1,-1,3,2,4,1,1
2,2,4,4,4,2,2
1,1,1,1,5,-2,-1
2,2,4,4,5,2,1
-1,-1,1,1,2,-2,-2
1,2,5,5,4,1,1
-1,1,5,4,4,2,2
2,1,1,1,4,-2,-2
2,1,1,1,5,-2,-2
2,1,2,2,5,2,2
1,2,1,1,4,-2,-1
-2,-2,1,1,1,-2,-2
1,2,4,2,5,1,1
1,1,4,2,4,1,1
1,2,4,4,5,2,1
2,2,4,3,4,1,2
2,1,5,4,4,2,2
2,1,4,4,3,1,1
2,2,5,5,5,2,2
1,1,4,4,4,1,1
-1,1,1,1,3,-2,-2
1,2,3,2,5,1,1
1,1,2,1,3,1,-1
1,1,1,1,3,-1,-1
2,-2,1,2,3,-2,-2
2,1,5,5,5,1,2
-2,1,2,1,1,1,2
2,2,5,5,5,2,2
1,1,4,3,5,1,1
2,2,2,2,5,2,2
1,2,2,1,5,-1,-1
2,1,5,5,5,2,2
2,1,5,5,5,2,2
1,1,2,2,5,1,1
-1,1,4,2,5,1,1
-1,2,2,1,5,-1,-1
1,2,1,1,3,-2,-2
2,2,5,4,5,2,2
1,1,4,4,5,1,1
1,1,3,3,5,1,1
-1,1,2,2,4,-1,-1
1,2,4,4,5,2,1
1,2,4,3,5,1,1
1,-1,1,1,4,-2,-2
1,1,2,2,2,-2,-1
1,1,4,4,5,1,1
-1,-1,5,5,1,1,1
-1,1,1,1,4,-2,-2
-1,1,2,2,4,1,1
1,1,1,1,3,-2,-2
2,2,3,3,5,1,1
1,1,4,4,5,2,2
1,2,4,4,5,1,1
2,1,5,5,4,2,2
1,1,4,2,3,2,2
2,1,3,2,2,1,1
2,1,2,2,4,-1,-1
1,2,1,1,4,-2,-2
1,1,4,4,5,2,2
2,2,2,2,3,-1,-1
1,1,1,1,3,-2,-2
1,2,4,2,5,1,1
1,1,4,4,3,1,1
2,2,3,4,3,1,1
1,1,3,3,3,1,-1
1,1,1,1,5,-2,-2
1,2,3,2,4,-1,1
2,2,2,2,5,2,2
2,1,2,2,5,-1,-1
1,1,3,2,4,1,1
-2,2,1,1,3,-2,-2
1,1,1,1,5,-1,-1
-2,1,1,1,2,-2,-2
-1,2,2,1,4,-1,-1
2,1,4,4,5,1,1
1,1,2,2,4,-1,-1
-1,-1,1,1,3,-2,-2
1,2,5,4,5,2,2
2,2,4,4,5,2,2
1,1,1,1,3,-2,-2
2,2,5,5,5,2,2
1,2,1,2,4,-1,1
2,2,1,1,3,-2,-2
1,2,5,5,4,2,1
2,2,4,2,5,2,2
2,1,1,1,5,-1,-2
1,2,4,4,5,1,1
1,1,3,2,4,-1,-1
1,1,1,1,5,-2,-2
2,2,4,4,5,2,2
-2,-2,1,1,3,-2,-1
2,2,4,4,4,1,1
1,1,5,4,5,2,1
1,2,4,2,5,1,1
1,1,1,1,5,-1,-1
1,1,2,2,4,-1,-1
2,2,1,1,5,-1,-1
1,2,4,4,5,2,1
1,2,3,2,5,1,-1
1,1,2,2,5,-1,1
-2,-2,1,1,1,-2,-2
1,1,1,1,5,-2,-2
-1,1,2,2,2,-2,-1
1,1,4,2,5,1,1
1,1,4,5,5,2,2
1,2,5,5,5,1,1
-1,1,1,1,5,-1,-1
2,1,4,2,4,2,2
2,1,5,5,4,2,2
2,2,4,4,5,2,1
1,1,5,5,5,2,2
1,2,4,3,4,2,2
2,2,4,4,4,1,1
2,2,4,4,3,2,2
1,2,1,1,3,-2,1
-2,-1,1,1,1,-2,-2
1,1,4,4,5,2,2
2,2,4,4,5,2,2
-1,1,1,2,2,-2,-2
2,-2,5,5,2,1,1
-1,1,4,3,5,2,1
1,2,4,4,4,1,1
2,1,4,4,5,2,2
1,1,1,1,5,-2,-1
1,1,4,4,4,2,1
-2,0,1,1,2,-2,-2
1,1,4,4,5,1,1
2,2,2,2,4,-1,-1
1,1,1,2,3,-2,-2
-2,1,3,2,1,-1,-1
